,0,2,cleaned
0,"Turki mah gitu ..presiden nya di hina ama presiden lebanon, begitu kena musibah eh turki duluan yg kirim bantu",Hoax ,turki mah gitu presiden nya di hina ama presiden lebanon begitu kena musibah eh turki duluan yg kirim bantu
1,maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden,Hoax ,maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden
2,"Pagi2 dah bahas politik ae..

""nih bro asal lu tau, nanti KH. Ma'ruf Amin bakal mundur dari wakil presiden, naaah ntar Prabowo yg gantiin""",Hoax ,pagi2 dah bahas politik ae nih bro asal lu tau nanti kh ma ruf amin bakal mundur dari wakil presiden naaah ntar prabowo yg gantiin
3,"""pegadaian ngga punya akun lelang, bisa langsung ke pelayanan cabang kalo mau cek lelang""",Fakta ,gadai ngga punya akun lelang bisa langsung ke layan cabang kalo mau cek lelang
4,"Temenku ada yg pernah beli di akun lelang pegadaian kayak gini, belinya codan gitu tapi diluar kantor, soalnya ga boleh transaksi di dalam katanya",Hoax ,temenku ada yg pernah beli di akun lelang gadai kayak gin beli codan gitu tapi luar kantor soal ga boleh transaksi di dalam kata
5,Kawanku yang kuliah di STAN memang terpapar radikalisme... sepertinya itu gamblang,Hoax ,kawan yang kuliah di stan memang papar radikalisme seperti itu gamblang
6,"iyaaa gua di awal disuruh ke pkn stan kan, tapi tutup pendaftaran 4 tahun. Trs gua pen nyari poltek2 duluuuu. Gua gatau minat bakat gua anjir",Hoax ,iyaaa gua di awal suruh ke pkn stan kan tapi tutup daftar 4 tahun trs gua pen nyari poltek2 duluuuu gua gatau minat bakat gua anjir
7,PKN STAN tutup selama 4 tahun sampe 2024.. Awalnya ga percaya sampe akhirnya tadi denger langsung dari adek2 mahasiswa STAN dan googling ternyata iya.. Semoga janganlah.. :'(,Hoax ,pkn stan tutup lama 4 tahun sampe 2024 awal ga percaya sampe akhir tadi denger langsung dari adek2 mahasiswa stan dan googling nyata iya moga jangan
8,"Gara2 isu Radikalisne di kampus STAN, maka selama 4 tahun kedepan kampus itu di tutup dan tidak menerima mahasiswa baru. Rupanya sekarang mahasiswa yg rajin shalat dan pengajian di Masjid dianggap pemerintah sebagai embrio Radikalisme sehingga membahayakan keamanan negara ",Hoax ,gara2 isu radikalisne di kampus stan maka lama 4 tahun depan kampus itu di tutup dan tidak terima mahasiswa baru rupa sekarang mahasiswa yg rajin shalat dan aji di masjid anggap perintah bagai embrio radikalisme sehingga bahaya aman negara
9,"Katanya iya:( kemaren juga ada yg bilang, ""dia"" ini punya tante orang dalam kata tantenya juga stan tutup 4 tahun udah dealğŸ˜­, udah capek nangis mikirin iniğŸ˜­",Hoax ,kata iya kemaren juga ada yg bilang dia ini punya tante orang dalam kata tante juga stan tutup 4 tahun udah deal udah capek nang mikirin ini
10,"Pernah baca di tl kalo tahun ini stam ga buka itu karna pandem i , kalo yg 4-5 thn itu moratorium lulusannya bukan pendaftaran stan nya. Cmiiw",Fakta,pernah baca di tl kalo tahun ini stam ga buka itu karna pandem kalo yg 4 5 thn itu moratorium lulus bukan daftar stan nya cmiiw
11,Bahwa Indra Sjafri jadi pelatih baru Juventus itu memang tidak benar. Yang benar adalah dia head coach baru Juventus.,Hoax ,bahwa indra sjafri jadi latih baru juventus itu memang tidak benar yang benar adalah dia head coach baru juventus
12,Indra Sjafri setelah sempat ikut terseret masuk bursa calon pengganti Maurizio Sarri: Indonesia lebih besar dibanding Juventus. #Sjafriball,Fakta,indra sjafri telah sempat ikut seret masuk bursa calon ganti maurizio sarri indonesia lebih besar banding juventus sjafriball
13,Pabrik petasan yg meledak di Lebanon pernah masuk di serial the simpson dan benar meledak di tahun corona. ğŸ’£ğŸ’¥,Hoax ,pabrik petas yg ledak di lebanon pernah masuk di serial the simpson dan benar ledak di tahun corona
14,Ledakan pabrik kembang api di pelabuhan Beirut Lebanon sudah pernah diprediksi oleh The Simpson. https://t.co/BM1PEGlJBa,Hoax ,ledak pabrik kembang api di labuh beirut lebanon sudah pernah prediksi oleh the simpson https co bm1pegljba
15,"Hampir sama di the simpson dan di Lebanon, simpsons mesin waktu.",Hoax ,hampir sama di the simpson dan di lebanon simpsons mesin waktu
16,Informasi mengenai The Simpsons memprediksi ledakan Beirut - Lebanon adalah salah alias HOAX,Fakta,informasi kena the simpsons prediksi ledak beirut lebanon adalah salah alias hoax
17,"Ledakan di film The Simpson mirip banget dgn yang di Lebanon. Dear pengarang film The Simpson: tolong buat film Virus Corona menghilang dari muka bumi ini, sapa tau ilang beneran.",Hoax ,ledak di film the simpson mirip banget dgn yang di lebanon dear arang film the simpson tolong buat film virus corona hilang dari muka bumi ini sapa tau ilang beneran
18,"Yang nyebarin editan kartun The Simpsons sama ledakan di lebanon tolong di stop dong, jangan nyebarin video yang ga sesuai faktanya...... Btw ini yang asli nya",Fakta,yang nyebarin edit kartun the simpsons sama ledak di lebanon tolong di stop dong jangan nyebarin video yang ga sesuai fakta btw ini yang asli nya
19,"Beredar Peta DKI Jakarta Hitam Akibat Covid-19, BIN: Itu Hoaks",Fakta,edar peta dki jakarta hitam akibat covid 19 bin itu hoaks
20,"HatiÂ² dg pembagian masker gratis oleh orgÂ² yg tak dikenal terutama di tmpatÂ² sepi, krna tak jarang terjdi tindak kejahatan. Masker yg diberi telah diberi obat bius terlebih dahulu oleh pelaku yg bs membuat korban tak sadarkan diri",Hoax ,hati dg bagi masker gratis oleh org yg tak kenal utama di tmpat sepi krna tak jarang terjdi tindak jahat masker yg beri telah beri obat bius lebih dahulu oleh laku yg bs buat korban tak sadar diri
21,Ati2 sekarang ada modus ngasi masker gratis tapi dikasi obat bius biar pingsan trus dirampok.,Hoax ,ati2 sekarang ada modus ngasi masker gratis tapi kasi obat bius biar pingsan trus rampok
22,"Si ibu dikasi masker gratis maskernya dikasi obat bius dan dihipnotis ,,motor dibawa kabur.. hati2.....indo mart wrg silah",Hoax ,si ibu kasi masker gratis masker kasi obat bius dan hipnotis motor bawa kabur hati2 indo mart wrg silah
23,"hari ini. Seorang ibu yg naik sepeda motor , diberi masker gratis oleh seseorang di JL HARAPAN RAYA PEKAN BARU. Setelah masker dipakai oleh ibu itu , lalu ia tak sadarkan diri. Masker sudah diberi OBAT BIUS.
DAN SEPEDA MOTORNYA DIBAWA ORANG ITU.",Hoax ,hari ini orang ibu yg naik sepeda motor beri masker gratis oleh orang di jl harap raya pekan baru telah masker pakai oleh ibu itu lalu ia tak sadar diri masker sudah beri obat bius dan sepeda motor bawa orang itu
24,"Hati-hati dan tetap waspada.
Modus pemberian masker gratis yg sdh diberi obat bius
Tetap waspada dan jangan lengah
Kejahatan selalu mengintai kita",Hoax ,hati hati dan tetap waspada modus beri masker gratis yg sdh beri obat bius tetap waspada dan jangan lengah jahat selalu intai kita
25,"Modus baru kejahatan. Pelaku bagiin masker gratis dan langsung disuruh pake. Ternyata maskernya udah dikasih obat bius. Saat korban tertidur, pelaku langsung merampok harta korban.
Modusnya mirip sih kayak bagiin minuman ke penumpang di terminal/stasiun saat musim mudik. Hati2 ya",Hoax ,modus baru jahat laku bagiin masker gratis dan langsung suruh pake nyata masker udah kasih obat bius saat korban tidur laku langsung rampok harta korban modus mirip sih kayak bagiin minum ke tumpang di terminal stasiun saat musim mudik hati2 ya
26,"Tolong lah, ini hipnotis, bukan masker di ksh bius, nanti malah jadi pada parno buat yg di ksh masker gratis, nyebarin berita boleh, tp jgn nyebarin hoax ",Fakta,tolong lah ini hipnotis bukan masker di ksh bius nanti malah jadi pada parno buat yg di ksh masker gratis nyebarin berita boleh tp jgn nyebarin hoax
27,"Oh ayolahh sekiranya blm terbukti Jgn menggiring opini!, coba search di google byk portal2 berita ttg cek fakta apakah ""Masker gratis Terdapat Obat Bius"" kebanyakan berita mengkonfimasi itu HOAX. jg itu berita 5-6hr yg lalu, dan anda blm 24jam. Oh mungkin anda lupa buka browser.",Fakta,oh ayolahh sekira blm bukti jgn giring opini coba search di google byk portal2 berita ttg cek fakta apakah masker gratis dapat obat bius banyak berita mengkonfimasi itu hoax jg itu berita 5 6hr yg lalu dan anda blm 24jam oh mungkin anda lupa buka browser
28,Imam Ahmad bin Hanbal berkata: â€œPemilik ilmu filsafat tidak akan beruntung selamanya. Para ulama filsafat adalah para zindiqâ€ (Talbiis Ibliis 1/75),Hoax ,imam ahmad bin hanbal kata milik ilmu filsafat tidak akan untung lama para ulama filsafat adalah para zindiq talbiis ibliis 1 75
29,"RG ( RADA GILA ) KOK ..DI DENGERIN ...HARAM 
IMAM SYAFII ..MENGATAKAN ILMU FILSAFAT ITU HARAM ...YANG PELAJARI RG ...DAN RG SENDIRI.KAFIR ....#koplakklop",Hoax ,rg rada gila kok di dengerin haram imam syafii kata ilmu filsafat itu haram yang ajar rg dan rg sendiri kafir koplakklop
30,"Hukum mempelajari ilmu filsafat adalah boleh dan tidak haram, dengan catatan orang yang mempelajarinya sudah memiliki pengetahuan luas tentang dasar-dasar ilmu agama sehingga akidah dan imannya tidak goyah. ",Fakta,hukum ajar ilmu filsafat adalah boleh dan tidak haram dengan catat orang yang ajar sudah milik tahu luas tentang dasar dasar ilmu agama sehingga akidah dan iman tidak goyah
31,Orang tua penyebar hoaks :(,Fakta,orang tua sebar hoaks
32,Kalau semua penyebar hoax ditangkap mungkin banyak anak-anak yang hidup tanpa orang tua. Termasuk aku. -korban orang tua penyebar hoax via whatsapp-,Fakta ,kalau semua sebar hoax tangkap mungkin banyak anak anak yang hidup tanpa orang tua masuk aku korban orang tua sebar hoax via whatsapp
33,Hu um. Wkwkwkw.. Penyebar hoax kebanyakan orang tua. Wkwkwkw.,Fakta,hu um wkwkwkw sebar hoax banyak orang tua wkwkwkw
34,Di kanada covid aman terkendali ya? Enak bgt liat story nya orang yg di kanada sudah bisa jalan2 ditaman ga pake masker... foto2 sama bayi2 lagi di taman..,Hoax ,di kanada covid aman kendali ya enak bgt liat story nya orang yg di kanada sudah bisa jalan2 tam ga pake masker foto2 sama bayi2 lagi di taman
35,"Fpi ga butuh SKT
Fpi ga perlu makan beling 
Fpi ga perlu kebal bacok
Fpi ga butuh 1,5 T

Yang Fpi cari ridho Illahi..

Alloh hu akbar..

Menolak lupa",Hoax ,fpi ga butuh skt fpi ga perlu makan beling fpi ga perlu kebal bacok fpi ga butuh 1 5 yang fpi cari ridho illahi alloh hu akbar tolak lupa
36,"Sampai kiamat FPI mungkin akan dibenci ormas bayaran yg bs saja saat latihan kebal bacok pas praktek di kehidupan takut jarum. Jangan2 FPI nanti akan bergabung dengan Imam Al Mahdi (?) , artinya yg bergabung dengan Imam Al Mahdi adalah manusia2 pilihan akhir zaman. Wallaahu a'lam",Hoax ,sampai kiamat fpi mungkin akan benci ormas bayar yg bs saja saat latih kebal bacok pas praktek di hidup takut jarum jangan2 fpi nanti akan gabung dengan imam al mahdi arti yg gabung dengan imam al mahdi adalah manusia2 pilih akhir zaman wallaahu lam
37,"Negara kita tidak pernah berhutang, hanya melakukan pinjaman luar negeri.

*katajokowi
*31maret2020",Hoax ,negara kita tidak pernah hutang hanya laku pinjam luar negeri katajokowi 31maret2020
38,"Bu Sri., mohon maaf. Kalau anda sudah tak sanggup, tolong tahu diri. Setidaknya dengarkan masukan dri pakar independent. Kasihan Indonesia.",,bu sri mohon maaf kalau anda sudah tak sanggup tolong tahu diri tidak dengar masuk dri pakar independent kasihan indonesia
39,"Miris...!!! 5 pangkalan militer Negara Komunis China ternyata telah eksis dibangun di Indonesia sejak tahun 2015 .

Berlokasi di Natuna, Morowali, Kaltim dan 2 wilayah lainnya masih dalam tahap pembangunan dan dirahasiakan oleh rezim Jokowi sebagai tameng bagi Imperialis China",Hoax,miris 5 pangkal militer negara komunis china nyata telah eks bangun di indonesia sejak tahun 2015 lokasi di natuna morowali kaltim dan 2 wilayah lain masih dalam tahap bangun dan rahasia oleh rezim jokowi bagai tameng bagi imperialis china
40,"Terdapat 5 pangkalan militer China di Indonesia yang telah dibangun sejak tahun 2015 hingga saat ini.
Natuna, Morowali, Kaltim adalah 3 pangkalan militer China yang telah selesai dibangun dan saat ini dalam tahap finishing 85% persenjataan. ",Hoax,dapat 5 pangkal militer china di indonesia yang telah bangun sejak tahun 2015 hingga saat ini natuna morowali kaltim adalah 3 pangkal militer china yang telah selesai bangun dan saat ini dalam tahap finishing 85 senjata
41,"Nah loh ada pangkalan Militer di Laut Natuna... Ada apa ini???

Google Earth Rilis Gambar Pangkalan Militer China di Laut Natuna Utara ",Hoax,nah loh ada pangkal militer di laut natuna ada apa ini google earth rilis gambar pangkal militer china di laut natuna utara
42,"Pabrik Esemka Kosong dan Karyawan Dipecat.
Drama Baru Lagi?",Hoax,pabrik esemka kosong dan karyawan pecat drama baru lagi
43,Kami denger ktanya smua karyawan pabrik ESEMKA kena CORONA mkanya pabrik di liburkan...ğŸ¤£,Hoax,kami denger ktanya smua karyawan pabrik esemka kena corona mkanya pabrik di libur
44,Info Pembagian Laptop Gratis Dari Pemerintah Untuk Siswa ,Hoax,info bagi laptop gratis dari perintah untuk siswa
45,"@Kemdikbud_RI hallo, saya mau bertanya, apakah program ini benar adanya? Atau hanya penipuan ya?
Katanya ada pembagian laptop gratis untuk siswa dan guru.",Hoax,kemdikbud ri hallo saya mau tanya apakah program ini benar ada atau hanya tipu ya kata ada bagi laptop gratis untuk siswa dan guru
46,"Orang besarnya aja bilang gak tahu ...
Kebanyakan makan tempe ...",Hoax,orang besar aja bilang gak tahu banyak makan tempe
47,"Kalo pak presiden aja yg di gaji tinggi dan di beri kelengkapan berbagai fasilitas tidak tau. Lah piye toh, mundur aja deh",Hoax,kalo pak presiden aja yg di gaji tinggi dan di beri lengkap bagai fasilitas tidak tau lah piye toh mundur aja deh
48,"Kasus Corona Tembus 111 Ribu, Jokowi : Saya Tidak Tahu Sebabnya Apa
https://t.co/LHLrQJhSYi
Jokowi: Angka Kematian Covid-19 RI Lebih Tinggi 0,8 Persen dari Global
https://t.co/J37C9ysZfT
Klo presiden dgn kelengkapan alat negara, SDM & dana ajja ga tauğŸ¤¦ğŸ»â€â™‚ï¸
MUNDUR itu lbh terhormatğŸ¤·ğŸ¼â€â™‚ï¸ https://t.co/EcyRWrgGkk",Hoax,kasus corona tembus 111 ribu jokowi saya tidak tahu sebab apa https co lhlrqjhsyi jokowi angka mati covid 19 ri lebih tinggi 0 8 persen dari global https co j37c9yszft klo presiden dgn lengkap alat negara sdm dana ajja ga tau mundur itu lbh hormat https co ecyrwrggkk
49,"Serba ndak tahu buat apa jdi presiden...eh, bukannya dibatalin MA yaa...harusnya mawas diri dgn kafasitas yg dimiliki bukan maksain...",Hoax,serba ndak tahu buat apa jdi presiden eh bukan dibatalin ma yaa harus mawas diri dgn kafasitas yg milik bukan maksain
50,"Jrreenngg jrreenngg mandalika siap memesona dunia sebagai neo bali ,upaya pakdhe jokowi menghadirkan negara demi pesona potensi lokal yang mampu menggerakkan ekonomi loka",Hoax,jrreenngg jrreenngg mandalika siap pesona dunia bagai neo bal upaya pakdhe jokowi hadir negara demi pesona potensi lokal yang mampu gerak ekonomi loka
51,"Ajang balap dunia MOTOGP 2021 akan digelar di Mandalika, Lombok, NTB dan di klaim sbg sirkuit jalan raya pertama di dunia utk perhelatan MOTOGP ğŸ‘",Hoax,ajang balap dunia motogp 2021 akan gelar di mandalika lombok ntb dan di klaim sbg sirkuit jalan raya pertama di dunia utk helat motogp
52,"Ledakan besar dan mematikan mengguncang kota Beirut, Lebanon. Seperti yang terlihat di tayangan-tayangan video, awan hitam pekat menyelimuti pelabuhan yang telah dilalap api. Bangunan-bangunan hancur rata dengan tanah menyerupai sebuah ledakan bom nuklir. #lebanon",Hoax,ledak besar dan mati guncang kota beirut lebanon seperti yang lihat di tayang tayang video awan hitam pekat limut labuh yang telah lalap api bangun bangun hancur rata dengan tanah rupa buah ledak bom nuklir lebanon
53,"DetikÂ² ledakan di Lebanon, seperti Bom Nuklir gaes..
Link di bawah
#ledakanlebanon 
#ledakanbeirut 
#PrayForLebanon ",Hoax,detik ledak di lebanon seperti bom nuklir gaes link di bawah ledakanlebanon ledakanbeirut prayforlebanon
54,pagi-pagi disuguhi video ledakan di lebanon. ledakan keduanya serem banget dah kayak bom nuklir :(,Hoax,pagi pagi suguh video ledak di lebanon ledak dua rem banget dah kayak bom nuklir
55,Ngeri yang terjadi di lebanon. Dari vidnya efek ledakannya kyk bom nuklir hiroshima & nagasaki,Hoax,ngeri yang jadi di lebanon dari vidnya efek ledak kyk bom nuklir hiroshima nagasaki
56,Bahkan dokter di amerika bersuara melawan who..(tanpa pakaian astronot apalagi masker),Hoax,bahkan dokter di amerika suara lawan who tanpa pakai astronot apalagi masker
57,"Ngaku presiden dgn negara populasi islam terbesar di dunia, tapi mana suara jokowi tak terdengar mengutuk cina. Ya nama juga keturunan komunis, pasti bela komunis. Untungnya gw tidak pernah anggap jokowi presiden gw, sorry yg tidak sepaham.",Hoax,ngaku presiden dgn negara populasi islam besar di dunia tapi mana suara jokowi tak dengar kutuk cina ya nama juga turun komunis pasti bela komunis untung gw tidak pernah anggap jokowi presiden gw sorry yg tidak paham
58,"Bgi yg punya anak putra putrinya harus di awasin yg suka maen hp..ini anak hbis di oprasi pengecilan otak gara kna rdiasi sinar hp mhon di bagikan ya, sampe skrg anakya blm sadar...aamiinkan sejenak semoga anak iniâ€¦ ",Hoax,bgi yg punya anak putra putri harus di awasin yg suka maen hp ini anak hbis di oprasi kecil otak gara kna rdiasi sinar hp mhon di bagi ya sampe skrg anakya blm sadar aamiinkan jenak moga anak ini
59,"Inilah hasil yg dikehendaki olh oknum utk mengamandemen UUD 1945 agar china bisa leluasa di Negara Republik Indonesia.
Terkait TKA china Rakyat harus bertindak dan saling membahu utk bersatu, problem masyarakat Kendari adlh problem Rakyat Indonesia.",Hoax,ini hasil yg hendak olh oknum utk amandemen uud 1945 agar china bisa leluasa di negara republik indonesia kait tka china rakyat harus tindak dan saling bahu utk satu problem masyarakat kendari adlh problem rakyat indonesia
60,"https://t.co/qolnP7rl7O

Di sini beritanya Kendari memanas menolak TKA China",Hoax,https co qolnp7rl7o di sini berita kendari panas tolak tka china
61,Video ini bagus untuk dokumentaai di masa yg akan datang jika kelak kita benar benar merdeka dan berdaulat. Sebagai awal perjuangan penolakan rakyat terhadap ekspansi China yg dibungkus dengan pengiriman TKA. Sejarah akan menulis bahwa rakyat Kendari adalah para patriot sejati.,Hoax,video ini bagus untuk dokumentaai di masa yg akan datang jika kelak kita benar benar merdeka dan daulat bagai awal juang tolak rakyat hadap ekspansi china yg bungkus dengan kirim tka sejarah akan tulis bahwa rakyat kendari adalah para patriot sejati
62,"Masih ingatkah Berita ini 105 TKA CHINA pd 1 Juli 2020 ,sekarang 2 Agustus 2020 ada yang tahu sdh berapa?

105 TKA China Tiba di Bandara Kendari, Polisi Bubarkan Demonstran",Hoax,masih ingat berita ini 105 tka china pd 1 juli 2020 sekarang 2 agustus 2020 ada yang tahu sdh berapa 105 tka china tiba di bandara kendari polisi bubar demonstran
63,"Ini di kendari ya, Masuk nya TKA china dsna ?",Hoax,ini di kendari ya masuk nya tka china dsna
64,"jangan sampe sentimen tersebut meluas hingga menjadi aksi, di Kendari sempat ada demo menolak kedatangan 500 TKA China. demonstran juga sampai berani melakukan sweeping, ngerii",Hoax,jangan sampe sentimen sebut luas hingga jadi aksi di kendari sempat ada demo tolak datang 500 tka china demonstran juga sampai berani laku sweeping ngeri
65,Apa maksudnya dari pada menyembelih Hewan Qurban. Mendingan uangnya untuk bayar Hutang Negara...?,Hoax,apa maksud dari pada sembelih hewan qurban mending uang untuk bayar hutang negara
66,Wapres menyebut Idul Adha tak harus dimaknai dengan menyembelih qurban ,Hoax,wapres sebut idul adha tak harus makna dengan sembelih qurban
67,"Mungkin mksd pak Yai ga usah potong domba atau sapi, beliin sembako aja dan berbagi gitu? ğŸ˜‚ğŸ˜‚ğŸ˜‚

Kok pak Yai juga qurban sapi? Kenapa ga beli sembako terus berbagi sembako aja? ğŸ¤”ğŸ¤”ğŸ¤”",Hoax,mungkin mksd pak yai ga usah potong domba atau sapi beliin sembako aja dan bagi gitu kok pak yai juga qurban sapi kenapa ga beli sembako terus bagi sembako aja
68,"fatal, kalo sampai temuannya terbukti lolos secara uji klinis terlepas dari ribut soal gelar, tetap dia mampu memberikan harapan bagi penderita covid, bagaimana anda mau menghukum orang yg telah menemukan obat? miris kalo hukum di indonesia seperti itu. fokus ke produknya.",Hoax,fatal kalo sampai temu bukti lolos cara uji klinis lepas dari ribut soal gelar tetap dia mampu beri harap bagi derita covid bagaimana anda mau hukum orang yg telah temu obat miris kalo hukum di indonesia seperti itu fokus ke produk
69,"Kalau ghibran debat ama om rocky..awas pertanda dunia udah kembali kejaman batu.
Coba tanya ghibran,dirumah ada cermin ngga",Hoax,kalau ghibran debat ama om rocky awas tanda dunia udah kembali kejam batu coba tanya ghibran rumah ada cermin ngga
70,"Debat tentang apa dulu, klo tentang martabak dan sang pisang, gue pastiin Rocky Gerung KO.",Hoax,debat tentang apa dulu klo tentang martabak dan sang pisang gue pastiin rocky gerung ko
71,"Tp klo masalah politik mending jangan,.malu2in. Paling bisanya tolak pinggang sambil teriak, ""merdeka, merdeka, sekali lagi, merdeka... terimakasih",Hoax,tp klo masalah politik mending jangan malu2in paling bisa tolak pinggang sambil teriak merdeka merdeka sekali lagi merdeka terimakasih
72,Yg gw bingung materi debatnya apa? Visi misi jd Cawalkot atau dinasti politik?,Hoax,yg gw bingung materi debat apa visi misi jd cawalkot atau dinasti politik
73,"Wooii, Abu Janda jangan kabur ya, ini gede luh fulusnyağŸ˜‚ Ridwan Kamil Ajak Abu Janda Jadi Relawan Uji Vaksin Corona, Faktanya ",Hoax,wooii abu janda jangan kabur ya ini gede luh fulus ridwan kamil ajak abu janda jadi rawan uji vaksin corona fakta
74,"Bang @ridwankamil Jangan Lupakan Sohibnya Abu Janda Yaitu @Dennysiregar7 @eko_kuntadhi Dan Para Jajarannya, Thank's.",Hoax,bang ridwankamil jangan lupa sohib abu janda yaitu dennysiregar7 eko kuntadhi dan para jajar thank
75,Tolong om putin.. kirim rudal ke gedung DPR. Dan istana...tp bsok ya.. pas ada rapat... jngn sekarang. Skrng lg ada saudara saudara kami yg demo...,Hoax,tolong om putin kirim rudal ke gedung dpr dan istana tp bsok ya pas ada rapat jngn sekarang skrng lg ada saudara saudara kami yg demo
76,"Telpon Putin aja Pak,kabulkan doa dr anak kecil yg meminta Putin kirim rudal ke gedung dpr ğŸ˜„",Hoax,telpon putin aja pak kabul doa dr anak kecil yg minta putin kirim rudal ke gedung dpr
77,"Dukung.. Dukung... pesen juga ke Korut, daripada buang2 rudal percuma, kirim aja ke Gedung DPRğŸ˜‚ğŸ˜‚ğŸ˜‚ @wahyuAasih https://t.co/soaBIjeMrC",Hoax,dukung dukung sen juga ke korut daripada buang2 rudal percuma kirim aja ke gedung dpr wahyuaasih https co soabijemrc
78,"Lanjutkan pak Jokowi 
3 periode banyak yang mendukung BPK
Untuk kemajuan bangsa Indonesia
#Tanpabeban",Hoax,lanjut pak jokowi 3 periode banyak yang dukung bpk untuk maju bangsa indonesia tanpabeban
79,Bagus lah 3 periode gw dukung.,Hoax,bagus lah 3 periode gw dukung
80,"Kagok amat 3 periode...
Sampai mati we sekalian...",Hoax,kagok amat 3 periode sampai mati we sekali
81,"Boleh gpp,,, wakil nye yg nekat brani tempur,,,
Yg penting gx ada keterlibatan partai atu pun dlm kabinet n yg berkaitan lembaga negara apa pun, (pdip no way)

Atu lg,,, si kaesang jadi mentri investasi, n hrs bujang gx boleh kawin dulu,,,",Hoax,boleh gpp wakil nye yg nekat brani tempur yg penting gx ada libat partai atu pun dlm kabinet yg kait lembaga negara apa pun pdip no way atu lg si kaesang jadi tri investasi hrs bujang gx boleh kawin dulu
82,"Ckp 2 periode saja. Andai boleh dipilih lg untuk ke 3, aku tdk pilih lg. Menyesal? Tdk. Aku kuatir, stlh tampa beban, periode berikutnya santai bekerja.

Buat tokoh nasional yg baik-baik, muncullah siap gantikan Jokowi siap melanjutkan visi misi Jokowi yg baik dan blm tuntas.",Hoax,ckp 2 periode saja andai boleh pilih lg untuk ke 3 aku tdk pilih lg sesal tdk aku kuatir stlh tampa beban periode ikut santai kerja buat tokoh nasional yg baik baik muncul siap ganti jokowi siap lanjut visi misi jokowi yg baik dan blm tuntas
83,"#panoramakulonprogo
â— Monggo yang punya usaha mikro, bisa isi pendataan ini di link https://t.co/j9XKt8LAyK. Ditunggu sampai nanti sore, atau jika kebingungan bisa DM ke dinaskoperasiukmkp.",Hoax,panoramakulonprogo monggo yang punya usaha mikro bisa isi data ini di link https co j9xkt8layk tunggu sampai nanti sore atau jika bingung bisa dm ke dinaskoperasiukmkp
