,0,2,cleaned
84,Pendataan data usulan calon Penerima Bantuan Usaha Mikro (PBUM). Semoga bantuan segera terealisasi bagi pelaku usaha mikro ditengah kondisi yang sangat sulit yang di rasakan hampir semua para pelaku usaha mikro.â€¦,Hoax,data data usul calon terima bantu usaha mikro pbum moga bantu segera realisasi bagi laku usaha mikro tengah kondisi yang sangat sulit yang di rasa hampir semua para laku usaha mikro
85,"Pastikn account anda selamat..

Terbaikla.Mark zuckerberg ketua pegawai eksekutif facebook mencipta perkataan baru GRATULA untuk memastikan akaun facebook anda dlm keadaan selamat. Taip GRATULA dalam komen jika... ",Hoax ,pastikn account anda selamat terbaikla mark zuckerberg ketua pegawai eksekutif facebook cipta kata baru gratula untuk pasti akaun facebook anda dlm ada selamat taip gratula dalam komen jika
86,"#im4BN Mark Zuckerberg, Ketua Pegawai Eksekutif Facebook, mencipta perkataan baru GRATULA. Untuk memastikan akaun anda dalam keadaan selamat, taip GRATULA dalam komen. Jika Merah , akaun anda masih selamat, Jika ia tidak bertukar kepada warna merah, silaâ€¦ ",Hoax,im4bn mark zuckerberg ketua pegawai eksekutif facebook cipta kata baru gratula untuk pasti akaun anda dalam ada selamat taip gratula dalam komen jika merah akaun anda masih selamat jika ia tidak tukar kepada warna merah sila
87,"Di china monyet untuk test lab nya mahal, di Indonesia uji coba nya ke manusia...gratis.",Hoax,di china monyet untuk test lab nya mahal di indonesia uji coba nya ke manusia gratis
88,"Jika tidak ada yang siap, coba tanya sama monyet, ada yang siap tidak gantiin monyet2 disana...",Hoax,jika tidak ada yang siap coba tanya sama monyet ada yang siap tidak gantiin monyet2 sana
89,Buat cebonger berhubungan china kekurangan monyet untuk uji coba vaksin dan pemerintah china meminta kepada pemerintah Ri untuk uji coba gratis krena kalian adalah cebong militan dan garda terdepan untuk pemerintah ini dan lebih manfaat klo kalian yg menjadi relawannya .,Hoax,buat cebonger hubung china kurang monyet untuk uji coba vaksin dan perintah china minta kepada perintah ri untuk uji coba gratis krena kalian adalah cebong militan dan garda depan untuk perintah ini dan lebih manfaat klo kalian yg jadi rawan
90,"Laboratorium China kekurangan monyet untuk uji coba vaksin Corona.

Pak Dhe ngotot untuk melakukan vaksinasi Corona kepada masyarakat.

Berarti benar vaksin Corona belum teruji klinis dong. Atau janganÂ² mereka anggap kita ini... Ah sudahlah ğŸ˜‚ğŸ˜‚",Hoax,laboratorium china kurang monyet untuk uji coba vaksin corona pak dhe ngotot untuk laku vaksinasi corona kepada masyarakat arti benar vaksin corona belum uji klinis dong atau jangan mereka anggap kita ini ah sudah
91,"Kampus di bandung kembali seru lagi , setelah zaman sy bocah di isiin dengan sekotak sabun dan hand body oleh bandung lautan asmara , sekarang ada kampus sekte pemujaan setan
Madep kieu bdg aing",Hoax ,kampus di bandung kembali seru lagi telah zaman sy bocah di isiin dengan kotak sabun dan hand body oleh bandung laut asmara sekarang ada kampus sekte puja setan madep kieu bdg aing
92,"Demo Neo PKI hari ini udah dapat Ijin dari Buntelan kentut maaf ralat Dari Petinggi Kepolisian 

Tinggal tunggu genderang perang ditabuh aja",Hoax,demo neo pki hari ini udah dapat ijin dari buntel kentut maaf ralat dari petinggi polisi tinggal tunggu genderang perang tabuh aja
93,"Rocky Gerung: foto Rizieq Shihab dibakar settingan intelijen pengalihan isu Gibran maju pilkada.

Mmmmm ğŸ¤”ğŸ™„
Out of the blue tiba tiba ada demo tentang khilafah, padahal isu yang keras di khawatirkan lahirnya Neo PKI.
Emang terkesan aneh..",Hoax,rocky gerung foto rizieq shihab bakar settingan intelijen alih isu gibran maju pilkada mmmmm out of the blue tiba tiba ada demo tentang khilafah padahal isu yang keras di khawatir lahir neo pki emang kes aneh
94,Yg suruh demo orng soleh pasti org tsb neo PKI yg Sesat & Group PEMBOHONG.,Hoax,yg suruh demo orng soleh pasti org tsb neo pki yg sesat group bohong
95,"Gak bakalan bisa Prabowo ganti Ma'ruf. Proksinya akan sekuat tenaga jaga Ma'ruf tetap di kursi Wapres. Kalo Ma'ruf lengser, kans putra mahkota di 2024 terancam apalagi kalo sampe jatuh ke tangan Prabowo yg musuh dan rival sejak lama. Bisa jantungan Ki Lurah ğŸ¤¬ğŸ¤¬",Hoax,gak bakal bisa prabowo ganti ma ruf proksinya akan kuat tenaga jaga ma ruf tetap di kursi wapres kalo ma ruf lengser kans putra mahkota di 2024 ancam apalagi kalo sampe jatuh ke tangan prabowo yg musuh dan rival sejak lama bisa jantung ki lurah
96,"Presiden Prancis Emmanuel Macron kemarin mengeluarkan larangan pendirian sekolah Turki di Prancis.

Merespon hal itu, setengah jam kemudian, Presiden Turki Erdogan mengeluarkan perintah penutupan semua sekolah prancis di Turki. Kurang lebih 70 sekolah.",Hoax,presiden prancis emmanuel macron kemarin keluar larang diri sekolah turki di prancis merespon hal itu tengah jam kemudian presiden turki erdogan keluar perintah tutup semua sekolah prancis di turki kurang lebih 70 sekolah
97,"BELAJAR ""IZZAH"" DARI TURKI
Presiden Perancis Melarang Sekolah Turki di Negaranya, Erdogan Balas Dengan Tegas",Hoax,ajar izzah dari turki presiden perancis larang sekolah turki di negara erdogan balas dengan tegas
98,"[1]
Ini baru Pemimpin. 
-----
Presiden Prancis Emmanuel Macron kemarin mengeluarkan larangan pendirian sekolah Turki di Prancis.
Merespon hal itu, setengah jam kemudian, Presiden Turki Erdogan mengeluarkan perintah penutupan semua sekolah prancis di Turki. ",Hoax,1 ini baru pimpin presiden prancis emmanuel macron kemarin keluar larang diri sekolah turki di prancis merespon hal itu tengah jam kemudian presiden turki erdogan keluar perintah tutup semua sekolah prancis di turki
99,"Emang tahun 2024 masih ada Pilpres yaa 
Jokowi pengen jadi presiden seumur hidup, seperti bung karno dulu, cuma beda bung karno punya rasa malu, sedang jokowi tak punya malu 

Bayangin 2 periode berkuasa, kerjanya berantem terus sama Rakyat",Hoax,emang tahun 2024 masih ada pilpres yaa jokowi ken jadi presiden umur hidup seperti bung karno dulu cuma beda bung karno punya rasa malu sedang jokowi tak punya malu bayangin 2 periode kuasa kerja antem terus sama rakyat
100,"Disaat fresh graduate kesulitan mencari kerja, TKA china melenggang masuk Indonesia, saat pandemi pula. 
Kurang hebat apalagi presiden dan menteri negara awak ini, hidup @jokowi presiden seumur hidup!!!",Hoax,saat fresh graduate sulit cari kerja tka china lenggang masuk indonesia saat pandemi pula kurang hebat apalagi presiden dan menteri negara awak ini hidup jokowi presiden umur hidup
101,"Keppres Jokowi Presiden Seumur Hidup sekalian, wkwkwkwk",Hoax,keppres jokowi presiden umur hidup sekali wkwkwkwk
102,Setuju! U penghematan. Sekalian angkat jokowi presiden seumur hidup terus nanti penggantinya gibran.,Hoax,tuju hemat sekali angkat jokowi presiden umur hidup terus nanti ganti gibran
103,"Cilacap Luar Biasa
Sekarang 8 camat di kabupaten terluas di Jawa Tengah ini diberi inventaris sebuah pesawat terbang untuk operasional. Semoga berlanjut pada setiap camat di Republik Indonesia! ",Hoax ,cilacap luar biasa sekarang 8 camat di kabupaten luas di jawa tengah ini beri inventaris buah pesawat terbang untuk operasional moga lanjut pada tiap camat di republik indonesia
104,"Camat Dapat Inventaris Pesawat Terbang, Guyon Keren Pejabat di Era New Normal",Hoax,camat dapat inventaris pesawat terbang guyon keren jabat di era new normal
105,"HATI-HATI untuk para WANITA HAID!!

Sharing untuk para wanita,jika wanita sedang HAID maka sekali-kali jangan lakukan 4 hal ini.

1. Jangan minum ais, air berkarbonat dan kelapa kerana darah haid boleh tersisa di dinding rahim yang boleh menyebabkan berlaku kanser rahim.",Hoax,hati hati untuk para wanita haid sharing untuk para wanita jika wanita sedang haid maka sekali kali jangan laku 4 hal ini 1 jangan minum ais air karbonat dan kelapa rana darah haid boleh sisa di dinding rahim yang boleh sebab laku kanser rahim
106,Lebih baik di tutup @Facebook @TwitterID karena.di pakai ajang ujaran kebencian. Dan tidak ada tindakan dari pihak terkait.,Hoax ,lebih baik di tutup facebook twitterid karena di pakai ajang ujar benci dan tidak ada tindak dari pihak kait
107,"Tutup aja, lebih cepat lebih baik, ga usah ancam2 lah",Hoax,tutup aja lebih cepat lebih baik ga usah ancam2 lah
108,"Jika facebook ditutup di indonesia 
Rakyat makin kuat untuk tdk memilih jokowi di pilpres berikutnya
@jokowi @budimandjatmiko @RatnaSpaet",Hoax,jika facebook tutup di indonesia rakyat makin kuat untuk tdk pilih jokowi di pilpres ikut jokowi budimandjatmiko ratnaspaet
109,"Transfer of technology itu alibi! Dari zaman 2014 sampe skrg, pada sektor mana ada transfer of technology dr China?! Lalu skrg, rakyat dijadikan kelinci percobaan vaksin dr China? Harusnya pejabat dlu, lead by example!",Hoax,transfer of technology itu alibi dari zaman 2014 sampe skrg pada sektor mana ada transfer of technology dr china lalu skrg rakyat jadi kelinci coba vaksin dr china harus jabat dlu lead by example
110,"Kenapa ngotot menggunakan Vaksin China ya ?

Bukankah yang diuji klinis di Biofarma itu produk dari Sinovac China ? 

Bukan vaksin buatan dalam negeri.

Maksa jadi monyet percobaan kah ?",Hoax,kenapa ngotot guna vaksin china ya bukankah yang uji klinis di biofarma itu produk dari sinovac china bukan vaksin buat dalam negeri maksa jadi monyet coba kah
111,"Janganlah,, uji coba Vaksin C-19 dari Negara China komunis yg menjadikan lahan uji coba kelinci percobaan di indonesia , kenapa bukan Negara China yg melakukan di negaranya sendiri , pemerintah pusat jgn sebodoh itu janganlah rakyat indonesia jadi korban keinginan China komunis ",Hoax,jangan uji coba vaksin 19 dari negara china komunis yg jadi lahan uji coba kelinci coba di indonesia kenapa bukan negara china yg laku di negara sendiri perintah pusat jgn bodoh itu jangan rakyat indonesia jadi korban ingin china komunis
112,"Vaksin dari china diuji coba di Indonesia...kok RI seperti kelinci percobaan.. 
Kalau berhasil..yang kaya China.. 
Kalau gagal..yang modar rakyat RI..
Kalau berhasil yang numpang beken Jokowi, kalau gagal ngga mau disalahkan...akan bilang namanya juga uji coba....ğŸ¥±ğŸ¥± dah watak.",Hoax,vaksin dari china uji coba di indonesia kok ri seperti kelinci coba kalau hasil yang kaya china kalau gagal yang modar rakyat ri kalau hasil yang numpang beken jokowi kalau gagal ngga mau salah akan bilang nama juga uji coba dah watak
113,"Bukan jadi obyek percobaan mas ... Tapi ini uji klinis fase terahir,karena di china sudah uji coba trhadap manusia memasuki fase terahir dan siap sebar,mkanya mungkin di beli indonesia sekaligus untuk uji coba fase terahir,nanti setelah uji coba apakah ada efek samping atau tidak",Fakta,bukan jadi obyek coba mas tapi ini uji klinis fase terahir karena di china sudah uji coba trhadap manusia pasuk fase terahir dan siap sebar mkanya mungkin di beli indonesia sekaligus untuk uji coba fase terahir nanti telah uji coba apakah ada efek samping atau tidak
114,"Hagia sophia yang dikembalikan fungsi nya oleh Edorgan pada ngamuk 

Israel Ubah Masjid Bersejarah Jadi Bar dan Ruang Acara Penikahan kalian pada diam

Kalian ini Islam Apa bukan, Munafik kalian",Hoax,hagia sophia yang kembali fungsi nya oleh edorgan pada ngamuk israel ubah masjid sejarah jadi bar dan ruang acara nikah kalian pada diam kalian ini islam apa bukan munafik kalian
115,"Israel Ubah Masjid Al Ahmar jadi Bar

Astgfirullahhhh...berilh Israel azabmu secara langsung .....",Hoax,israel ubah masjid al ahmar jadi bar astgfirullahhhh berilh israel azab cara langsung
116,"Laknatullah Israel.!

Israel Ubah Puluhan Masjid Palestina Jadi Bar, Sinagoga, Hancurkan Beberapa Lainnya.",Hoax,laknatullah israel israel ubah puluh masjid palestina jadi bar sinagoga hancur beberapa lain
117,"Petani di Malili Sulsel, di Pukuli Polisi. Mereka dipukuli karna lahan mreka tdk mau dibeli oleh PT Sindoka. Biadab! https://t.co/s6Z07MDkKh",Hoax,tani di malili sulsel di pukul polisi mereka pukul karna lahan mreka tdk mau beli oleh pt sindoka biadab https co s6z07mdkkh
118,@jokowi_do2 Petani di Malili Sulsel dipukuli karena mereka ingin mempertahankan lahan yang ingin dikuasai PT sindoka ,Hoax,jokowi do2 tani di malili sulsel pukul karena mereka ingin tahan lahan yang ingin asai pt sindoka
119,Ini petani malili sulsel yg dipukuli oknum krn mempertahankan lahan cc @budimandjatmiko http://t.co/rCdya4TpkD,Hoax,ini tani malili sulsel yg pukul oknum krn tahan lahan cc budimandjatmiko http co rcdya4tpkd
120,"Wah bintang/zodiac kalian berubah nih ğŸ˜…ğŸ˜…ğŸ˜…

NASA mengumumkan keberadaan rasi bintang baru. Kehadirannya membuat jumlah rasi bintang bertambah dari 12 menjadi 13, dan karenanya semua zodiak pun berubah.",Hoax,wah bintang zodiac kalian ubah nih nasa umum ada rasi bintang baru hadir buat jumlah rasi bintang tambah dari 12 jadi 13 dan karena semua zodiak pun ubah
121,"DengarÂ² yang lagi booming banget ada zodiak baru, kalau dari NASA melihat pergerakkan bumi telah bergeser, dan zodiak nya jadi 13.",Hoax,dengar yang lagi booming banget ada zodiak baru kalau dari nasa lihat gerak bumi telah geser dan zodiak nya jadi 13
122,"[ ZODIAK BERUBAH ]
Nasa telah meluncurkan pembagian Zodiak baru karena sumbu bumi telah bergeser. ahli astronomi yang menambahkan adanya zodiak baru, jadi sekarang dalam satu tahun ada 13 zodiak",Hoax,zodiak ubah nasa telah luncur bagi zodiak baru karena sumbu bumi telah geser ahli astronomi yang tambah ada zodiak baru jadi sekarang dalam satu tahun ada 13 zodiak
123,"Nope

Ini berita lama, sempet viral tahun 2011-2016 yang lalu udah dibantah sama para astrologer. Ophiuchus termasuk dalem constellation zodiac dan itu beda sama 12 zodiak lainnya. Constellation zodiac gak dipake",Fakta,nope ini berita lama sempet viral tahun 2011 2016 yang lalu udah ban sama para astrologer ophiuchus masuk dalem constellation zodiac dan itu beda sama 12 zodiak lain constellation zodiac gak dipake
124,"Zodiak baru, opiuchus ( 29 november - 17 desember) ó¾®—

*penelitian dari nasa.. :v",Hoax,zodiak baru opiuchus 29 november 17 desember teliti dari nasa v
125,"Nasa sudah mengkonfirmasi via newscientist jika itu nggak benar. Apalagi Nasa dan zodiak itu dua hal yg berbeda, Nasa menggambarkan keadaan langit sesuai ilmu pengetahuan sdgnkn zodiak jauh dari ilmiah. Jadi saat Nasa mengklaim rasi bintang baru, itu bukanlah zodiak.",Fakta,nasa sudah konfirmasi via newscientist jika itu nggak benar apalagi nasa dan zodiak itu dua hal yg beda nasa gambar ada langit sesuai ilmu tahu sdgnkn zodiak jauh dari ilmiah jadi saat nasa klaim rasi bintang baru itu bukan zodiak
126,"makan durian, minum soda cara bunuh diri terbaru :v jgn ditiru woy, ini sungguhan",Hoax,makan durian minum soda cara bunuh diri baru jgn tiru woy ini sungguh
127,"Life lesson this weeks: jangan makan durian dan minum soda setelah itu, hasilnya benar2 sakaratul maut. 

Ps: kalau belum seminggu sembuh, jangan makan sambal dulu, hasilnya kambuh ditambah meriang.ğŸ¤’",Hoax,life lesson this weeks jangan makan durian dan minum soda telah itu hasil benar2 sakaratul maut ps kalau belum minggu sembuh jangan makan sambal dulu hasil kambuh tambah meriang
128,"Meskipun demikian, minum minuman soda setelah mengonsumsi durian tidak lantas membuat seseorang langsung meninggal saat itu juga.Â Secara ilmiah tidak ada hubungannya makan durian minum soda lalu meninggal.",Fakta,meski demikian minum minum soda telah konsumsi durian tidak lantas buat orang langsung tinggal saat itu juga cara ilmiah tidak ada hubung makan durian minum soda lalu tinggal
129,"Gaji guru kecil imbalannya surga kalau gitu gaji menteri dan pejabat besar imbalannya NERAKA, gimana anda setuju",Hoax,gaji guru kecil imbal surga kalau gitu gaji menteri dan jabat besar imbal neraka gimana anda tuju
130,"Ga usah ngasih tau guru2 untuk maklum. Kasih aja contoh: Anda kan sudah kaya raya, gaji Anda sbg pejabat tinggi bisa ngga disumbangkan seluruhnya utk mensejahterakan para guru, dan harta Anda yg sdh melimpah bs ngga disumbangkan utk mrk jg, dan Anda hidup sderhana sprti mrk?",Hoax,ga usah ngasih tau guru2 untuk maklum kasih aja contoh anda kan sudah kaya raya gaji anda sbg jabat tinggi bisa ngga sumbang seluruh utk sejahtera para guru dan harta anda yg sdh limpah bs ngga sumbang utk mrk jg dan anda hidup sderhana sprti mrk
131,"Kalo untuk guru"" imbalan surga, kalo untuk Tanoto dan Sampoerna 20 M cingcaelah. Hebat !!!",Hoax,kalo untuk guru imbal surga kalo untuk tanoto dan sampoerna 20 cingcaelah hebat
132,"Goblok pak wapres , DI REKTUR BUMN DI GAJI BESAR, GURU HONOR YG MENCEDASKAN KEHIDUPAN BANSA DI GAJI 300 RIBU SEBULAN, DI MANA RASA KEMANUSIAAN DAN DI MANA KEADILAN SOSIAL NYA, JADI WAJAR PANCASILA HANYA SEBAGAI UCAPAN
Cc : @BANGSAygSUJUD",Hoax,goblok pak wapres di rektur bumn di gaji besar guru honor yg mencedaskan hidup bansa di gaji 300 ribu bulan di mana rasa manusia dan di mana adil sosial nya jadi wajar pancasila hanya bagai ucap cc bangsaygsujud
133,Kalo PKS dan gerindra gabung bisa .. cukup PKS dan gerindra bisa ... yg diliat peneliti LIPI gelagat petinggi PKS yg mulai merapat ke Jokowi .. nah kalo cuma getindra yg calonin Presiden ga cukup PT,Hoax,kalo pks dan gerindra gabung bisa cukup pks dan gerindra bisa yg liat teliti lipi gelagat petinggi pks yg mulai rapat ke jokowi nah kalo cuma getindra yg calonin presiden ga cukup pt
134,"Yg ga paham emg langsung nyolot dok. Gini ya. Dulu pks diserang sm org dalem sendiri pake isu petinggi pks merapat ke jokowi, bukti foto MSI sdg silatrhmi. Mereka gagal kudeta pake isu itu, bikinlah gelora. Nah mereka sendiri skrg jg sama. Ga konsisten khan, mana isu yg dulu itu?",Hoax,yg ga paham emg langsung nyolot dok gin ya dulu pks serang sm org dalem sendiri pake isu petinggi pks rapat ke jokowi bukti foto msi sdg silatrhmi mereka gagal kudeta pake isu itu bikin gelora nah mereka sendiri skrg jg sama ga konsisten khan mana isu yg dulu itu
135,"Tilawah Sultan Erdogan, Shalat Jum'at Perdana Setelah 86 Tahun di Masjid Hagia Shopia",Hoax,tilawah sultan erdogan shalat jum at perdana telah 86 tahun di masjid hagia shopia
136,"Setelah heboh Klepon HARAM. Sekarang Muncul INDOMIE RASA B2. Tapi PT Indofood telah membantah menjual makanan NON HALAL tersebut.

Rentetan demi rentetan yang terjadi, seolah ada by Design yang ingin menguji kesabaran Umat Islam",Hoax,telah heboh klepon haram sekarang muncul indomie rasa b2 tapi pt indofood telah ban jual makan non halal sebut rentet demi rentet yang jadi olah ada by design yang ingin uji sabar umat islam
137,Di sana ada indomie rasa saksang babi nder,Hoax,di sana ada indomie rasa saksang babi nder
138,"Selain kegaduhan kue klepon tidak Islami, menyusul lagi kegaduhan lain yang memicu masyarakat setelah beredarnya foto Indomie rasa saksang babi khas Sumatera Utara yang terjadi sejak Senin malam (20/7/2020).",Fakta,selain gaduh kue klepon tidak islami susul lagi gaduh lain yang picu masyarakat telah edar foto indomie rasa saksang babi khas sumatera utara yang jadi sejak senin malam 20 7 2020
139,"dear indomie trima kasih tlah mnciptakan varian rasa indomie saksang babiğŸ¥ºâ¤ buat klian yg cangkeman babi haram babi haram, ngak usah dibeli kntol,,",Hoax,dear indomie trima kasih tlah mnciptakan varian rasa indomie saksang babi buat klian yg cangkeman babi haram babi haram ngak usah beli kntol
140,"Ahli Virologi Asal China Kabur ke Amerika Mengungkapkan, Virus Corona Dibuat di Laboratorium Militer.",Hoax,ahli virologi asal china kabur ke amerika ungkap virus corona buat di laboratorium militer
141,"Takut Dibunuh, Ahli Virus China Kabur ke AS: Saya Bersaksi Covid-19 Hasil Persekongkolan Jahat",Hoax,takut bunuh ahli virus china kabur ke as saya saksi covid 19 hasil sekongkol jahat
142,"Thermo Gun merusak otak !!!

Berita ini langsung membuat heboh masy disebabkan viralnya video perbincangan antara pakar kuis Helmy Yahya dgn pakar ekonomi Ichsanuddin Noor di medsos

""Krn Hand gun termometer itu utk memeriksa kabel panas, lasernya dipakai utk memeriksa",Hoax,thermo gun rusak otak berita ini langsung buat heboh masy sebab viralnya video bincang antara pakar kuis helmy yahya dgn pakar ekonomi ichsanuddin noor di medsos krn hand gun termometer itu utk periksa kabel panas laser pakai utk periksa
143,"Tadi ke rs. Pas lagi nunggu antrian, mencuri dengar bapak2 lg tlp blg ""jgn mau diukur termometer di kepala, di tangan aja, nanti bisa merusak jaringan otak"" Hmm. Oke. Korban grup wa bapak2.",Hoax,tadi ke rs pas lagi nunggu antri curi dengar bapak2 lg tlp blg jgn mau ukur termometer di kepala di tangan aja nanti bisa rusak jaring otak hmm oke korban grup wa bapak2
144,"Cara kerja thermo gun adalah memantulkan gelombang inframerah dari tubuh, penggunaan thermo gun di dahi sudah lulus uji keamanan sehingga penggunaannya tidak perlu dikhawatirkan.",Fakta,cara kerja thermo gun adalah pantul gelombang inframerah dari tubuh guna thermo gun di dahi sudah lulus uji aman sehingga guna tidak perlu khawatir
145,mamaku wa-an sm temennya dikasitau jgn mau di termometer gun karna bisa merusak organ di kepala/otak kita ğŸ™ƒ,Hoax,mama wa an sm temennya dikasitau jgn mau di termometer gun karna bisa rusak organ di kepala otak kita
146,"Informasi yang bilang termometer tembak bisa merusak jaringan otak itu cuma hoax.

Penggunaan thermo gun sudah sangat aman & cukup akurat dilakukan sebagai skrining awal gejala demam akibat Covid-19. ",Fakta,informasi yang bilang termometer tembak bisa rusak jaring otak itu cuma hoax guna thermo gun sudah sangat aman cukup akurat laku bagai skrining awal gejala demam akibat covid 19
147,Coba tu pasukan yang berseragam polisi diajak ngomong pake bahasa Indonesia. Mungkin saja mereka orang china.,Hoax,coba tu pasu yang seragam polisi ajak ngomong pake bahasa indonesia mungkin saja mereka orang china
148,"â€œDihapus dari Peta Daring, Palestina Kecam Google-Appleâ€. Seharusnya Google dan Apple Dengarkan Kritik&Kecaman Masyarakat Internasional, Krn Penghapusan Itu Bertentangan Dg Fakta Eksistensi Palestina Yg Diakui PBB Dll, Dan Legalisasi Hasil/Teror Israel",Hoax,hapus dari peta daring palestina kecam google apple harus google dan apple dengar kritik kecam masyarakat internasional krn hapus itu tentang dg fakta eksistensi palestina yg aku pbb dll dan legalisasi hasil teror israel
149,"Biadab
Palestina resmi dihapus dari google maps
Tidak hanya menghapus palestina, tetapi berita penghapusan juga tidak ada dipencarian.",Hoax,biadab palestina resmi hapus dari google maps tidak hanya hapus palestina tetapi berita hapus juga tidak ada cari
150,"Peta Palestina dihapus google map

Pertanyaan
1. PBB kemana, kok diam aja?
2. OKI bagaimana responnya?
3. Negri mayoritas muslim protes g'?

Saya katakan dunia sdg tidak baik-baik saja",Hoax,peta palestina hapus google map tanya 1 pbb mana kok diam aja 2 oki bagaimana responnya 3 negri mayoritas muslim protes saya kata dunia sdg tidak baik baik saja
151,"Haghia Sophia di ubah jd Mesjid kmbali,kalian protes skrng palestina dihapus Dr Google Maps dignti jd Israel kalian Diem Ironis nya bnyak muslim yg diam tp justru ikut protes saat erdogan mengubah status Haghia Sophia jd Mesjid 
Dsr kaum licik Dan munafuck",Hoax,haghia sophia di ubah jd mesjid kmbali kalian protes skrng palestina hapus dr google maps dignti jd israel kalian diem ironis nya bnyak muslim yg diam tp justru ikut protes saat erdogan ubah status haghia sophia jd mesjid dsr kaum licik dan munafuck
152,Orang terlalu sibuk bermain tik tok aplikasi yg tak ada guna sampai lupa Palestina sudah dihapus dari google maps ğŸ˜­,Hoax,orang terlalu sibuk main tik tok aplikasi yg tak ada guna sampai lupa palestina sudah hapus dari google maps
153,"#savepalestine 
Di Google maps Palestina udah dihapus, but you can't delete history of muslim in Palestine. 
Palestine selalu ada di dalam hati setiap muslim",Hoax,savepalestine di google maps palestina udah hapus but you can delete history of muslim in palestine palestine selalu ada di dalam hati tiap muslim
154,Model seragam baru ASN Khilafah?,Hoax,model seragam baru asn khilafah
155,Harusnya ASN ini dipecat dengan tidak hormat pak bos @tjahjo_kumolo jangan cuma konpres trus.,Hoax,harus asn ini pecat dengan tidak hormat pak bos tjahjo kumolo jangan cuma konpres trus
156,Mestinya kalo ga mau ikut aturan ya diselesaikan toh jgn dibiarkan. Sehingga benih benih perpecahan bisa dicegah dari sekarang. Bukannya masih banyak yg bersedia jadi ASN kenapa mempertahankan yng ngeyel2 gitu. Pak Tito @kemendagri piye iki pak?,Hoax,mesti kalo ga mau ikut atur ya selesai toh jgn biar sehingga benih benih pecah bisa cegah dari sekarang bukan masih banyak yg sedia jadi asn kenapa tahan yng ngeyel2 gitu pak tito kemendagri piye iki pak
